,Unnamed: 0,Unnamed: 0.1,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Week_Number,TS,GR,RA,DZ,SN,FG,BR,HZ,FU,SQ,MI,BC,VC
38,38,38,1,2007-05-20,69,43,56,-5,40,44,9,0,0427,1909,RA VCTS,0.07,29.38,30.11,10.4,4,10.7,20,1,0,1,0,0,0,0,0,0,0,0,0,1
39,39,39,2,2007-05-20,69,44,57,-5,41,45,8,0,-,-,TSRA RA,0.11,29.44,30.11,8.6,3,9.7,20,1,0,1,0,0,0,0,0,0,0,0,0,0
40,40,40,1,2007-05-21,80,44,62,1,50,56,3,0,0426,1910, ,0.00,29.33,30.06,6.3,11,8.2,21,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,41,2,2007-05-21,79,46,63,1,50,57,2,0,-,-, ,0.00,29.39,30.05,6.3,10,7.8,21,0,0,0,0,0,0,0,0,0,0,0,0,0
42,42,42,1,2007-05-22,87,55,71,10,46,58,0,6,0425,1911, ,0.00,29.34,30.06,10.0,18,10.2,21,0,0,0,0,0,0,0,0,0,0,0,0,0
43,43,43,2,2007-05-22,87,60,74,10,44,58,0,9,-,-, ,0.00,29.41,30.05,10.1,16,10.6,21,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,44,1,2007-05-23,89,60,75,14,49,61,0,10,0425,1912, ,0.00,29.39,30.1,11.4,19,11.8,21,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,45,2,2007-05-23,89,66,78,14,48,61,0,13,-,-, ,0.00,29.47,30.1,10.9,18,11.2,21,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,46,1,2007-05-24,88,63,76,14,54,63,0,11,0424,1913,RA HZ,0.02,29.41,30.11,14.9,21,17.3,21,0,0,1,0,0,0,0,1,0,0,0,0,0
47,47,47,2,2007-05-24,88,66,77,14,53,63,0,12,-,-,RA HZ,  T,29.47,30.1,13.8,20,15.2,21,0,0,1,0,0,0,0,1,0,0,0,0,0
48,48,48,1,2007-05-25,70,56,63,1,44,53,2,0,0423,1914, ,  T,29.51,30.24,4.9,5,8.8,21,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,49,2,2007-05-25,66,57,62,1,46,53,3,0,-,-,RA BR,0.09,29.57,30.23,4.5,5,8.2,21,0,0,1,0,0,0,1,0,0,0,0,0,0
50,50,50,1,2007-05-26,65,49,57,-5,55,56,8,0,0422,1915,TSRA RA BR HZ,1.01,29.36,30.11,2.8,17,7.2,21,1,0,1,0,0,0,1,1,0,0,0,0,0
51,51,51,2,2007-05-26,70,50,60,-5,55,57,5,0,-,-,TSRA RA BR,0.28,29.42,30.1,2.5,15,7.8,21,1,0,1,0,0,0,1,0,0,0,0,0,0
52,52,52,1,2007-05-27,75,57,66,4,47,56,0,1,0422,1916,RA BR,0.04,29.34,30.06,8.9,26,9.5,21,0,0,1,0,0,0,1,0,0,0,0,0,0
53,53,53,2,2007-05-27,75,59,67,4,49,57,0,2,-,-,RA BR,0.08,29.41,30.05,8.2,24,9.2,21,0,0,1,0,0,0,1,0,0,0,0,0,0
54,54,54,1,2007-05-28,79,50,65,2,47,56,0,0,0421,1916,RA,  T,29.43,30.15,4.8,10,5.3,22,0,0,1,0,0,0,0,0,0,0,0,0,0
55,55,55,2,2007-05-28,76,54,65,2,49,57,0,0,-,-, ,0.00,29.49,30.14,4.7,8,5.2,22,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,56,1,2007-05-29,88,60,74,10,58,65,0,9,0421,1917,BR HZ,0.00,29.39,30.11,5.8,18,6.5,22,0,0,0,0,0,0,1,1,0,0,0,0,0
57,57,57,2,2007-05-29,88,65,77,10,59,66,0,12,-,-,BR HZ,0.00,29.44,30.09,5.8,16,7.4,22,0,0,0,0,0,0,1,1,0,0,0,0,0
58,58,58,1,2007-05-30,87,66,77,13,58,65,0,12,0420,1918,HZ,0.00,29.31,30.04,10.3,19,10.6,22,0,0,0,0,0,0,0,1,0,0,0,0,0
59,59,59,2,2007-05-30,89,70,80,13,57,66,0,15,-,-,HZ,0.00,29.38,30.03,9.7,17,10.1,22,0,0,0,0,0,0,0,1,0,0,0,0,0
60,60,60,1,2007-05-31,78,65,72,8,61,65,0,7,0420,1919,RA HZ,0.01,29.28,30.0,9.3,19,9.9,22,0,0,1,0,0,0,0,1,0,0,0,0,0
61,61,61,2,2007-05-31,80,68,74,8,61,66,0,9,-,-,RA BR,0.53,29.34,29.99,8.9,18,9.2,22,0,0,1,0,0,0,1,0,0,0,0,0,0
62,62,62,1,2007-06-01,85,62,74,10,63,66,0,9,0419,1920,TSRA BR HZ,0.19,29.19,29.91,4.2,17,6.4,22,1,0,1,0,0,0,1,1,0,0,0,0,0
63,63,63,2,2007-06-01,86,67,77,10,63,67,0,12,-,-,TSRA BR HZ,0.21,29.25,29.9,4.7,16,5.8,22,1,0,1,0,0,0,1,1,0,0,0,0,0
64,64,64,1,2007-06-02,81,65,73,9,63,67,0,8,0419,1920,RA BR,0.04,29.03,29.77,6.5,22,7.4,22,0,0,1,0,0,0,1,0,0,0,0,0,0
65,65,65,2,2007-06-02,81,68,75,9,62,67,0,10,-,-,RA BR,  T,29.1,29.76,7.5,21,8.2,22,0,0,1,0,0,0,1,0,0,0,0,0,0
66,66,66,1,2007-06-03,78,62,70,6,60,63,0,5,0418,1921,TSRA RA BR HZ,0.01,28.82,29.56,5.2,25,6.7,22,1,0,1,0,0,0,1,1,0,0,0,0,0
67,67,67,2,2007-06-03,77,64,71,6,60,64,0,6,-,-,RA BR HZ VCTS,0.32,28.87,29.54,4.9,24,7.2,22,1,0,1,0,0,0,1,1,0,0,0,0,1
68,68,68,1,2007-06-04,71,58,65,1,58,60,0,0,0418,1922,TSRA RA BR,0.39,28.82,29.52,7.8,31,9.7,23,1,0,1,0,0,0,1,0,0,0,0,0,0
69,69,69,2,2007-06-04,72,56,64,1,57,60,1,0,-,-,RA BR,0.31,28.88,29.51,7.9,30,10.1,23,0,0,1,0,0,0,1,0,0,0,0,0,0
70,70,70,1,2007-06-05,64,47,56,-9,48,51,9,0,0417,1923,RA BR,0.42,29.1,29.79,5.2,5,7.6,23,0,0,1,0,0,0,1,0,0,0,0,0,0
71,71,71,2,2007-06-05,63,51,57,-9,47,52,8,0,-,-,RA BR,0.27,29.16,29.78,6.2,3,8.1,23,0,0,1,0,0,0,1,0,0,0,0,0,0
72,72,72,1,2007-06-06,71,44,58,-8,48,55,7,0,0417,1923,RA,0.01,29.07,29.81,10.8,17,11.4,23,0,0,1,0,0,0,0,0,0,0,0,0,0
73,73,73,2,2007-06-06,73,48,61,-8,47,55,4,0,-,-,RA,  T,29.13,29.82,9.6,15,10.6,23,0,0,1,0,0,0,0,0,0,0,0,0,0
74,74,74,1,2007-06-07,91,71,81,15,62,69,0,16,0417,1924, ,0.00,28.84,29.55,22.7,20,23.1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
75,75,75,2,2007-06-07,92,71,82,15,61,68,0,17,-,-, ,0.00,28.91,29.55,20.3,19,20.7,23,0,0,0,0,0,0,0,0,0,0,0,0,0
76,76,76,1,2007-06-08,81,57,69,3,53,61,0,4,0417,1925, ,0.00,29.18,29.85,10.9,28,13.8,23,0,0,0,0,0,0,0,0,0,0,0,0,0
77,77,77,2,2007-06-08,81,63,72,3,54,62,0,7,-,-, ,0.00,29.24,29.83,9.3,26,12.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,78,1,2007-06-09,79,52,66,0,47,57,0,1,0416,1925, ,0.00,29.36,30.07,0.3,33,5.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
79,79,79,2,2007-06-09,79,57,68,0,49,58,0,3,-,-, ,0.00,29.42,30.05,2.4,19,4.7,23,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,80,1,2007-06-10,81,55,68,1,51,59,0,3,0416,1926, ,0.00,29.34,30.05,4.8,17,5.6,23,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,81,2,2007-06-10,81,61,71,1,50,60,0,6,-,-, ,0.00,29.39,30.04,4.6,16,5.8,23,0,0,0,0,0,0,0,0,0,0,0,0,0
82,82,82,1,2007-06-11,86,58,72,5,52,61,0,7,0416,1926, ,0.00,29.41,30.11,4.9,11,6.9,24,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,83,2,2007-06-11,85,65,75,5,51,61,0,10,-,-, ,0.00,29.47,30.09,6.6,9,8.4,24,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,84,1,2007-06-12,83,62,73,5,50,60,0,8,0416,1927, ,0.00,29.44,30.16,8.3,5,8.8,24,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,85,2,2007-06-12,82,66,74,5,51,61,0,9,-,-, ,0.00,29.49,30.14,9.4,5,10.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,86,1,2007-06-13,87,60,74,6,53,62,0,9,0416,1927, ,0.00,29.36,30.09,7.2,5,8.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,87,2,2007-06-13,86,68,77,6,53,62,0,12,-,-, ,0.00,29.36,30.09,7.0,5,8.6,24,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,88,1,2007-06-14,89,64,77,9,55,64,0,12,0416,1928, ,0.00,29.3,30.02,5.6,5,6.8,24,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,89,2,2007-06-14,89,68,79,9,54,63,0,14,-,-, ,0.00,29.36,30.0,5.9,7,6.4,24,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,90,1,2007-06-15,91,63,77,9,56,64,0,12,0416,1928, ,0.00,29.28,29.99,4.1,6,4.9,24,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,91,2,2007-06-15,89,67,78,9,56,65,0,13,-,-, ,0.00,29.34,29.97,3.8,9,4.1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,92,1,2007-06-16,93,66,80,11,60,67,0,15,0416,1929,RA HZ,  T,29.26,29.97,4.8,28,5.8,24,0,0,1,0,0,0,0,1,0,0,0,0,0
93,93,93,2,2007-06-16,92,68,80,11,61,68,0,15,-,-,HZ,  T,29.33,29.96,2.1,22,6.1,24,0,0,0,0,0,0,0,1,0,0,0,0,0
94,94,94,1,2007-06-17,91,70,81,12,64,70,0,16,0416,1929,HZ,0.00,29.23,29.95,2.8,11,6.3,24,0,0,0,0,0,0,0,1,0,0,0,0,0
95,95,95,2,2007-06-17,91,71,81,12,65,70,0,16,-,-,HZ,0.16,29.28,29.93,4.0,11,6.1,24,0,0,0,0,0,0,0,1,0,0,0,0,0
96,96,96,1,2007-06-18,89,69,79,9,65,70,0,14,0416,1929,TSRA RA HZ,0.28,29.12,29.84,14.0,20,15.1,25,1,0,1,0,0,0,0,1,0,0,0,0,0
97,97,97,2,2007-06-18,89,73,81,9,65,70,0,16,-,-,TSRA RA HZ,0.02,29.19,29.83,12.2,20,12.6,25,1,0,1,0,0,0,0,1,0,0,0,0,0
98,98,98,1,2007-06-19,80,65,73,3,55,63,0,8,0416,1930,RA,0.58,29.26,29.95,10.7,28,11.4,25,0,0,1,0,0,0,0,0,0,0,0,0,0
99,99,99,2,2007-06-19,81,65,73,3,55,63,0,8,-,-,RA BR,0.93,29.31,29.93,10.1,29,11.3,25,0,0,1,0,0,0,1,0,0,0,0,0,0
100,100,100,1,2007-06-20,84,61,73,3,52,61,0,8,0416,1930, ,0.00,29.39,30.1,7.8,27,8.8,25,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,101,2,2007-06-20,85,62,74,3,50,61,0,9,-,-, ,0.00,29.46,30.09,5.9,28,7.7,25,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,102,1,2007-06-21,77,61,69,-1,51,60,0,4,0416,1930,RA,0.01,29.36,30.08,3.5,3,10.7,25,0,0,1,0,0,0,0,0,0,0,0,0,0
103,103,103,2,2007-06-21,80,66,73,-1,51,61,0,8,-,-,RA,  T,29.41,30.06,3.7,2,9.6,25,0,0,1,0,0,0,0,0,0,0,0,0,0
104,104,104,1,2007-06-22,76,61,69,-1,50,58,0,4,0417,1931,RA,  T,29.33,30.06,7.8,6,8.7,25,0,0,1,0,0,0,0,0,0,0,0,0,0
105,105,105,2,2007-06-22,75,62,69,-1,49,58,0,4,-,-,RA,  T,29.39,30.05,6.5,7,8.1,25,0,0,1,0,0,0,0,0,0,0,0,0,0
106,106,106,1,2007-06-23,67,62,65,-5,58,61,0,0,0417,1931,RA BR,0.05,29.23,29.96,7.6,12,9.0,25,0,0,1,0,0,0,1,0,0,0,0,0,0
107,107,107,2,2007-06-23,68,61,65,-5,60,62,0,0,-,-,RA BR,0.34,29.28,29.95,7.3,11,8.1,25,0,0,1,0,0,0,1,0,0,0,0,0,0
108,108,108,1,2007-06-24,77,63,70,-1,62,65,0,5,0417,1931,BR HZ,0.00,29.26,29.97,7.0,9,8.0,25,0,0,0,0,0,0,1,1,0,0,0,0,0
109,109,109,2,2007-06-24,75,65,70,-1,62,65,0,5,-,-,BR HZ,0.00,29.33,29.96,5.6,10,6.0,25,0,0,0,0,0,0,1,1,0,0,0,0,0
110,110,110,1,2007-06-25,89,65,77,6,66,70,0,12,0417,1931,BR HZ,0.00,29.38,30.07,3.9,14,6.8,26,0,0,0,0,0,0,1,1,0,0,0,0,0
111,111,111,2,2007-06-25,86,67,77,6,67,70,0,12,-,-,BR HZ,0.00,29.44,30.06,4.0,12,5.9,26,0,0,0,0,0,0,1,1,0,0,0,0,0
112,112,112,1,2007-06-26,92,70,81,10,69,72,0,16,0418,1931,TSRA BR HZ VCTS,0.16,29.39,30.11,6.1,22,7.1,26,1,0,1,0,0,0,1,1,0,0,0,0,1
113,113,113,2,2007-06-26,91,73,82,10,69,72,0,17,-,-,BR HZ,  T,29.45,30.09,7.3,21,8.1,26,0,0,0,0,0,0,1,1,0,0,0,0,0
114,114,114,1,2007-06-27,91,71,81,10,70,72,0,16,0418,1931,TSRA,0.15,29.29,30.02,7.5,24,8.8,26,1,0,1,0,0,0,0,0,0,0,0,0,0
115,115,115,2,2007-06-27,89,71,80,10,69,72,0,15,-,-,TSRA RA BR,0.35,29.36,30.0,7.9,24,8.5,26,1,0,1,0,0,0,1,0,0,0,0,0,0
116,116,116,1,2007-06-28,74,58,66,-5,55,60,0,1,0419,1931, ,0.00,29.41,30.09,11.9,3,12.5,26,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,117,2,2007-06-28,73,61,67,-5,56,61,0,2,-,-, ,0.00,29.43,30.07,12.2,2,13.3,26,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,118,1,2007-06-29,70,56,63,-8,55,59,2,0,0419,1931, ,0.00,29.41,30.13,7.6,2,8.3,26,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,119,2,2007-06-29,71,56,64,-8,56,60,1,0,-,-, ,0.00,29.47,30.11,7.4,2,8.2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,120,1,2007-06-30,79,54,67,-5,46,56,0,2,0419,1931, ,0.00,29.41,30.13,4.9,3,5.8,26,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,121,2,2007-06-30,77,58,68,-5,49,58,0,3,-,-, ,0.00,29.46,30.11,5.1,4,6.2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,122,1,2007-07-01,75,54,65,-7,52,58,0,0,0420,1931, ,0.00,29.51,30.23,8.6,4,8.6,26,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,123,2,2007-07-01,76,61,69,-7,51,59,0,4,-,-, ,0.00,29.56,30.21,9.5,4,9.7,26,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,124,1,2007-07-02,79,53,66,-6,50,58,0,1,0420,1931, ,0.00,29.49,30.22,5.9,14,8.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,125,2,2007-07-02,77,58,68,-6,50,59,0,3,-,-, ,0.00,29.55,30.21,7.4,12,8.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,126,1,2007-07-03,83,60,72,0,57,63,0,7,0421,1931,TSRA RA BR,0.40,29.31,30.06,6.7,21,7.3,27,1,0,1,0,0,0,1,0,0,0,0,0,0
127,127,127,2,2007-07-03,83,63,73,0,56,63,0,8,-,-,TSRA RA,0.09,29.38,30.05,6.4,21,7.4,27,1,0,1,0,0,0,0,0,0,0,0,0,0
128,128,128,1,2007-07-04,86,67,77,5,65,69,0,12,0422,1930,TSRA BR HZ FU,0.16,29.18,29.9,4.6,27,8.2,27,1,0,1,0,0,0,1,1,1,0,0,0,0
129,129,129,2,2007-07-04,84,67,76,5,65,69,0,11,-,-,TSRA RA HZ FU,0.66,29.23,29.88,3.1,25,8.8,27,1,0,1,0,0,0,0,1,1,0,0,0,0
130,130,130,1,2007-07-05,89,71,80,8,60,67,0,15,0422,1930,BR HZ FU,0.00,29.24,29.94,6.4,31,8.1,27,0,0,0,0,0,0,1,1,1,0,0,0,0
131,131,131,2,2007-07-05,88,70,79,8,60,67,0,14,-,-,BR,0.00,29.29,29.92,4.3,33,6.9,27,0,0,0,0,0,0,1,0,0,0,0,0,0
132,132,132,1,2007-07-06,86,66,76,4,57,64,0,11,0423,1930, ,0.00,29.32,30.03,3.2,5,5.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
133,133,133,2,2007-07-06,84,68,76,4,57,65,0,11,-,-, ,0.00,29.38,30.01,3.3,7,5.5,27,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,134,1,2007-07-07,90,64,77,5,63,69,0,12,0423,1930, ,0.00,29.18,29.91,8.4,22,8.6,27,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,135,2,2007-07-07,88,68,78,5,62,68,0,13,-,-, ,0.00,29.24,29.9,7.4,23,8.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,136,1,2007-07-08,94,75,85,12,67,72,0,20,0424,1929, ,0.00,29.05,29.77,12.9,24,13.1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,137,2,2007-07-08,93,75,84,12,67,72,0,19,-,-, ,0.00,29.12,29.76,12.6,23,12.7,27,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,138,1,2007-07-09,94,70,82,9,66,70,0,17,0425,1929,TSRA RA VCTS,0.30,29.11,29.8,4.9,24,8.8,28,1,0,1,0,0,0,0,0,0,0,0,0,1
139,139,139,2,2007-07-09,93,72,83,9,67,71,0,18,-,-,RA,0.24,29.16,29.79,4.8,23,8.8,28,0,0,1,0,0,0,0,0,0,0,0,0,0
140,140,140,1,2007-07-10,89,69,79,6,67,70,0,14,0425,1929,HZ VCTS,0.43,29.06,29.77,8.6,23,10.5,28,1,0,0,0,0,0,0,1,0,0,0,0,1
141,141,141,2,2007-07-10,89,70,80,6,67,71,0,15,-,-,TSRA HZ,0.08,29.13,29.76,8.2,23,10.2,28,1,0,1,0,0,0,0,1,0,0,0,0,0
142,142,142,1,2007-07-11,77,62,70,-3,51,59,0,5,0426,1928, ,0.00,29.23,29.93,8.8,30,10.9,28,0,0,0,0,0,0,0,0,0,0,0,0,0
143,143,143,2,2007-07-11,77,63,70,-3,51,59,0,5,-,-, ,0.00,29.28,29.92,9.1,30,11.2,28,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,144,1,2007-07-12,80,61,71,-2,51,59,0,6,0427,1928, ,0.00,29.22,29.93,9.4,29,11.1,28,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,145,2,2007-07-12,80,60,70,-2,51,60,0,5,-,-,VCTS,0.00,29.28,29.92,10.0,28,11.4,28,1,0,0,0,0,0,0,0,0,0,0,0,1
146,146,146,1,2007-07-13,78,58,68,-5,52,58,0,3,0428,1927, ,0.00,29.26,29.98,1.4,1,5.3,28,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,147,2,2007-07-13,74,59,67,-5,53,59,0,2,-,-, ,0.00,29.33,29.98,2.0,7,5.8,28,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,148,1,2007-07-14,84,61,73,0,55,62,0,8,0428,1927, ,0.00,29.08,29.79,8.3,26,13.2,28,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,149,2,2007-07-14,85,62,74,0,55,62,0,9,-,-, ,0.00,29.14,29.79,8.4,25,13.9,28,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,150,1,2007-07-15,82,60,71,-3,53,61,0,6,0429,1926, ,0.00,29.19,29.89,2.1,29,4.9,28,0,0,0,0,0,0,0,0,0,0,0,0,0
